id,hotel,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests
6404,City Hotel,143,2017,May,18,4,0,3,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,151,NULL,0,Transient,100,0,0
6405,City Hotel,103,2017,April,17,23,2,1,2,2,0,HB,PRT,Online TA,TA/TO,0,0,0,F,F,1,No Deposit,83,NULL,0,Transient,224,0,0
6406,Resort Hotel,151,2017,April,14,4,2,5,2,0,0,BB,GBR,Groups,TA/TO,0,0,0,D,D,3,No Deposit,NULL,223,0,Transient-Party,60,0,2
6407,City Hotel,240,2017,July,30,23,2,1,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,NULL,NULL,0,Transient,110,0,0
6408,City Hotel,1,2017,July,28,14,0,1,3,0,0,BB,NLD,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,190,0,1
6409,City Hotel,20,2017,May,19,11,0,3,2,0,0,BB,DEU,Direct,Direct,0,0,0,A,A,0,No Deposit,NULL,NULL,0,Transient,170,0,0
6410,Resort Hotel,97,2017,June,24,14,0,4,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,C,C,1,No Deposit,240,NULL,0,Transient,160,0,1
6411,City Hotel,244,2017,July,30,29,2,1,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,107.1,0,2
6412,City Hotel,76,2017,April,15,9,2,3,2,0,0,BB,NOR,Direct,Direct,0,0,0,A,A,0,No Deposit,14,NULL,0,Transient,100.8,0,0
6413,Resort Hotel,140,2017,June,24,13,0,4,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,410,NULL,0,Transient,56.7,0,0
6414,Resort Hotel,4,2017,July,28,15,1,1,2,0,0,BB,CN,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240,NULL,0,Transient,185,0,1
6415,City Hotel,169,2017,June,23,8,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,19,NULL,0,Transient,170,0,0
6416,City Hotel,15,2017,May,18,5,1,2,2,0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,150,0,1
6417,City Hotel,142,2017,August,31,5,2,4,2,0,0,BB,ROU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,139.5,0,1
6418,City Hotel,15,2017,August,34,25,2,2,2,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,NULL,0,Transient,101.8,0,1
6419,City Hotel,135,2017,August,33,18,1,2,2,0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,42,NULL,0,Transient,80.1,0,0
6420,City Hotel,96,2017,April,17,26,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,29,NULL,0,Transient,130,0,0
6421,City Hotel,19,2017,May,20,15,1,3,3,0,0,BB,CHN,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9,NULL,0,Transient,216,0,0
6422,Resort Hotel,123,2017,July,28,15,2,4,2,0,0,HB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,212,0,1
6423,City Hotel,102,2017,August,33,18,0,2,2,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,125,0,1
6424,Resort Hotel,0,2017,August,35,27,2,0,2,0,0,BB,HRV,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,244,1,0
6425,Resort Hotel,0,2017,June,26,30,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,F,0,No Deposit,240,NULL,0,Transient,144,0,0
6426,City Hotel,396,2017,April,17,25,0,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,229,NULL,0,Transient,90,0,0
6427,City Hotel,116,2017,June,25,18,2,2,2,0,0,SC,CN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,99,0,0
6428,Resort Hotel,52,2017,July,30,24,2,5,2,0,0,BB,IRL,Direct,Direct,0,0,0,A,A,0,No Deposit,NULL,NULL,0,Transient,200,0,1
6429,City Hotel,157,2017,May,18,1,1,3,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,3,NULL,0,Transient,130,0,0
6430,City Hotel,8,2017,July,28,15,0,1,2,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,105,0,1
6431,City Hotel,50,2017,May,22,30,0,3,2,0,0,BB,BGR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,22,NULL,0,Transient,89.1,0,0
6432,City Hotel,123,2017,July,31,30,2,1,2,0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,2,No Deposit,9,NULL,0,Transient,155,0,1
6433,City Hotel,99,2017,August,34,21,1,2,2,1,0,BB,FRA,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,7,NULL,0,Transient,225.48,0,2
6434,City Hotel,208,2017,August,31,2,0,1,2,0,0,HB,FRA,Groups,TA/TO,0,0,0,A,A,0,No Deposit,30,NULL,0,Transient-Party,157,0,1
6435,Resort Hotel,2,2017,May,19,11,2,3,2,0,0,HB,GBR,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,151,0,0
6436,City Hotel,91,2017,April,14,2,2,2,3,0,0,BB,DEU,Online TA,TA/TO,0,0,0,E,E,2,No Deposit,9,NULL,0,Transient,178.5,0,4
6437,City Hotel,122,2017,June,22,2,1,2,2,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,16,NULL,0,Transient,109,0,1
6438,City Hotel,116,2017,August,34,21,1,3,1,0,0,BB,FIN,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,98,NULL,0,Transient-Party,125,0,0
6439,City Hotel,36,2017,August,32,9,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,229,NULL,0,Transient-Party,112.67,0,0
6440,Resort Hotel,36,2017,April,15,11,0,4,2,2,0,BB,ESP,Direct,Direct,0,0,0,C,C,0,No Deposit,250,NULL,0,Transient,133.5,0,2
6441,City Hotel,414,2017,July,28,13,0,2,1,0,0,HB,DEU,Groups,TA/TO,0,0,0,A,A,1,No Deposit,6,NULL,0,Transient-Party,95.5,0,0
6442,City Hotel,457,2017,August,34,25,0,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6,NULL,0,Transient-Party,80,0,0
6443,City Hotel,186,2017,May,22,30,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,19,NULL,0,Transient,130,0,0
6444,City Hotel,128,2017,May,21,26,1,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,28,NULL,0,Transient,85,0,0
6445,Resort Hotel,31,2017,April,17,23,2,4,1,0,0,HB,DEU,Groups,TA/TO,0,0,0,A,A,0,No Deposit,298,NULL,0,Transient-Party,74,0,0
6446,City Hotel,17,2017,May,19,8,1,0,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,10,NULL,0,Transient,95,0,0
6447,City Hotel,96,2017,August,33,16,0,2,2,1,0,BB,ESP,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9,NULL,0,Transient,174,0,1
6448,City Hotel,251,2017,June,25,21,0,4,3,0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,2,No Deposit,9,NULL,0,Transient,153.68,0,1
6449,City Hotel,208,2017,April,13,1,2,1,2,0,0,SC,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,99,0,2
6450,City Hotel,157,2017,May,21,26,0,2,2,0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,126,0,1
6451,City Hotel,157,2017,August,33,14,1,3,2,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,85,NULL,0,Transient,80.1,0,1
6452,Resort Hotel,110,2017,April,15,9,2,1,1,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,66,0,1
6453,City Hotel,198,2017,May,20,19,1,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,12,NULL,23,Transient,110,0,0
6454,Resort Hotel,411,2017,May,22,31,2,4,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,NULL,NULL,0,Transient,71.1,0,0
6455,Resort Hotel,16,2017,August,33,15,1,5,2,0,0,BB,POL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241,NULL,0,Transient,169.48,0,1
6456,City Hotel,0,2017,May,21,24,0,1,1,0,0,BB,PRT,Complementary,Direct,1,0,4,A,B,0,No Deposit,NULL,45,0,Transient,0,0,1
6457,City Hotel,14,2017,April,15,12,0,1,2,2,0,BB,ESP,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9,NULL,0,Transient,224,0,0
6458,Resort Hotel,10,2017,May,18,6,2,3,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,94.8,0,1
6459,Resort Hotel,0,2017,May,21,23,0,2,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,E,0,No Deposit,NULL,NULL,0,Transient-Party,54,0,1
6460,Resort Hotel,2,2017,June,23,9,0,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,348,NULL,0,Transient,140,0,0
6461,City Hotel,144,2017,July,30,23,2,1,2,1,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,148.5,0,0
6462,City Hotel,164,2017,May,20,15,1,2,1,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,NULL,NULL,0,Transient,160,0,0
6463,City Hotel,150,2017,August,34,21,1,2,2,2,0,BB,ESP,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,83,NULL,0,Transient,188,0,1
6464,City Hotel,2,2017,April,17,25,0,3,1,0,0,BB,GBR,Direct,Direct,0,0,0,E,E,0,No Deposit,14,NULL,0,Transient,215,0,0
6465,City Hotel,156,2017,April,17,26,0,3,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,37,NULL,0,Transient,100,0,0
6466,City Hotel,123,2017,April,17,24,1,3,2,0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,105.75,0,2
6467,Resort Hotel,166,2017,June,25,19,3,6,2,2,0,HB,RUS,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,NULL,0,Transient,228,0,0
6468,City Hotel,35,2017,August,32,8,0,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,229,NULL,0,Transient-Party,90,0,0
6469,City Hotel,100,2017,June,26,30,1,2,1,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9,NULL,0,Transient,108,0,1
6470,City Hotel,147,2017,May,21,24,0,4,2,3,0,BB,BEL,Direct,Direct,0,0,0,G,G,0,No Deposit,14,NULL,0,Transient,250,0,0
6471,City Hotel,159,2017,April,17,28,1,2,2,0,0,BB,BEL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,130.5,0,0
6472,Resort Hotel,106,2017,May,18,5,2,3,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,85,0,1
6473,City Hotel,30,2017,August,35,30,0,3,3,0,0,HB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7,NULL,0,Transient,195.47,0,3
6474,City Hotel,89,2017,July,30,27,0,3,1,0,0,SC,FIN,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,NULL,0,Transient,120,0,1
6475,City Hotel,104,2017,April,14,7,1,2,2,1,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,NULL,0,Transient,135,0,1
6476,Resort Hotel,101,2017,May,19,7,2,5,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40,NULL,0,Contract,72.66,0,0
6477,City Hotel,243,2017,July,30,26,0,4,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,NULL,NULL,0,Transient,110,0,0
6478,City Hotel,31,2017,April,16,21,2,3,1,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,21,NULL,0,Transient-Party,75,0,0
6479,City Hotel,372,2017,April,14,4,0,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,229,NULL,0,Transient,90,0,0
6480,City Hotel,35,2017,July,30,29,1,1,2,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,140,0,1
6481,Resort Hotel,28,2017,June,25,18,1,0,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,241,NULL,0,Transient,136,0,1
6482,City Hotel,125,2017,April,16,20,0,3,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,33,NULL,0,Transient,85,0,0
6483,City Hotel,190,2017,May,19,9,0,2,2,0,0,BB,FRA,Direct,Direct,0,0,0,A,A,0,No Deposit,14,NULL,0,Transient,96.25,0,0
6484,City Hotel,20,2017,August,32,10,1,3,2,0,0,BB,ISR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,180,0,2
6485,City Hotel,177,2017,April,16,21,1,2,2,0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,99,0,2
6486,Resort Hotel,36,2017,August,33,16,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241,NULL,0,Transient,184,0,1
6487,City Hotel,93,2017,April,14,7,1,2,1,0,0,BB,RUS,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,109.8,0,0
6488,Resort Hotel,22,2017,April,15,10,1,2,2,0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient-Party,120.67,1,1
6489,City Hotel,12,2017,April,16,17,1,3,1,0,0,BB,ESP,Direct,Direct,0,0,0,A,A,1,No Deposit,14,NULL,0,Transient,120,0,1
6490,Resort Hotel,245,2017,May,19,9,0,3,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,177,NULL,0,Transient,43.2,0,1
6491,City Hotel,0,2017,July,27,2,1,0,2,0,0,SC,FRA,Direct,Direct,0,0,0,A,A,0,No Deposit,NULL,NULL,0,Transient,123,0,0
6492,City Hotel,175,2017,August,32,7,1,0,3,0,0,HB,POL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6,NULL,0,Transient,155.1,0,3
6493,City Hotel,201,2017,June,24,14,0,4,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,NULL,NULL,0,Transient,110,0,0
6494,City Hotel,175,2017,May,20,19,0,1,1,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,44,NULL,0,Transient,90,0,0
6495,City Hotel,286,2017,July,27,2,2,1,2,1,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,123.3,0,1
6496,City Hotel,167,2017,August,32,10,0,1,2,0,0,BB,CN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,130.5,0,0
6497,City Hotel,34,2017,April,15,14,2,2,3,1,0,BB,FRA,Direct,Direct,0,0,0,G,G,0,No Deposit,14,NULL,0,Transient,255,0,0
6498,City Hotel,164,2017,July,28,12,0,2,3,0,0,BB,NOR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,152.1,0,0
6499,City Hotel,113,2017,May,20,20,2,1,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,34,NULL,0,Transient,190,0,0
6500,City Hotel,160,2017,August,34,22,0,4,3,0,0,BB,ISR,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,9,NULL,0,Transient,202.5,0,0
6501,City Hotel,93,2017,June,22,3,1,1,2,2,0,BB,SWE,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9,NULL,0,Transient,250,0,0
6502,City Hotel,307,2017,August,33,16,2,4,2,0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9,NULL,0,Transient,95.1,0,1
6503,City Hotel,67,2017,April,16,16,1,0,2,0,0,BB,NOR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,126,0,0
6504,City Hotel,91,2017,April,15,12,0,3,2,0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,123,0,1
6505,Resort Hotel,76,2017,April,16,18,0,4,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,75,0,1
6506,Resort Hotel,2,2017,July,28,14,0,2,2,1,0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,241,NULL,0,Transient,172.9,1,1
6507,Resort Hotel,100,2017,April,17,29,2,1,2,0,0,HB,PRT,Groups,TA/TO,0,0,0,D,D,0,No Deposit,385,NULL,0,Transient-Party,85,0,0
6508,City Hotel,321,2017,August,35,28,1,4,2,0,0,HB,FRA,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9,NULL,0,Transient,145.08,0,3
6509,City Hotel,98,2017,April,17,24,1,4,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28,NULL,0,Transient,85,0,0
6510,Resort Hotel,125,2017,August,33,19,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,230,0,1
6511,City Hotel,179,2017,May,20,14,2,2,1,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8,NULL,0,Transient,116.33,0,1
6512,City Hotel,215,2017,August,33,15,0,4,2,0,0,BB,ZWE,Direct,Direct,0,0,0,D,D,4,No Deposit,14,NULL,0,Transient,123.3,0,0
6513,City Hotel,92,2017,April,15,11,0,4,2,0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,103.5,0,0
6514,City Hotel,264,2017,April,15,14,1,2,2,0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,99,0,0
6515,City Hotel,423,2017,June,24,14,0,3,2,0,0,BB,GBR,Groups,TA/TO,0,0,0,A,A,2,No Deposit,229,NULL,0,Transient-Party,112.67,0,1
6516,City Hotel,46,2017,June,25,24,1,1,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,150,0,1
6517,City Hotel,1,2017,May,19,9,0,1,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,NULL,238,0,Transient,65,0,0
6518,Resort Hotel,33,2017,August,33,14,2,5,2,0,0,HB,LUX,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,262,0,1
6519,City Hotel,201,2017,June,24,14,0,4,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,NULL,NULL,0,Transient,110,0,0
6520,Resort Hotel,286,2017,August,32,7,2,5,1,0,0,HB,POL,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,315,NULL,0,Contract,117.45,0,0
6521,City Hotel,102,2017,April,17,24,1,3,1,0,0,BB,IRL,Groups,TA/TO,0,0,0,A,A,1,No Deposit,NULL,424,0,Transient-Party,90,0,0
6522,City Hotel,0,2017,April,14,5,0,2,1,0,0,BB,PRT,Aviation,Corporate,0,0,0,D,E,1,No Deposit,NULL,153,0,Transient,110,0,0
6523,City Hotel,173,2017,July,29,18,0,4,1,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient-Party,98.1,0,2
6524,City Hotel,2,2017,July,28,12,0,1,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,NULL,40,0,Transient,65,0,0
6525,Resort Hotel,1,2017,May,21,23,0,1,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,15,NULL,0,Transient,67,1,0
6526,City Hotel,219,2017,June,23,9,1,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,20,NULL,0,Transient,105,0,0
6527,City Hotel,407,2017,May,18,6,2,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,229,NULL,0,Transient,90,0,0
6528,City Hotel,23,2017,May,18,3,0,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8,NULL,0,Transient,169,0,1
6529,City Hotel,410,2017,May,19,9,0,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,229,NULL,0,Transient,90,0,0
6530,City Hotel,315,2017,July,28,15,1,1,1,0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,107.1,0,0
6531,City Hotel,61,2017,May,20,19,1,2,1,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,144,0,0
6532,Resort Hotel,344,2017,June,22,1,4,10,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,243,NULL,0,Contract,56.7,0,0
6533,City Hotel,10,2017,April,17,26,2,9,1,0,0,BB,AGO,Direct,Direct,0,0,0,D,D,5,No Deposit,NULL,NULL,0,Transient,19.09,0,3
6534,City Hotel,88,2017,May,19,8,1,1,1,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,170,NULL,0,Transient,120,0,0
6535,City Hotel,105,2017,May,20,19,0,2,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,NULL,NULL,0,Transient,160,0,0
6536,City Hotel,30,2017,April,17,29,2,1,2,0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient-Party,153.33,3,2
6537,City Hotel,62,2017,May,20,20,2,1,2,0,0,SC,AUT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,144,0,2
6538,City Hotel,89,2017,July,28,15,3,6,2,0,0,BB,BEL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,394,NULL,0,Transient,89.1,0,1
6539,City Hotel,122,2017,May,21,27,1,1,1,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,1,No Deposit,12,NULL,0,Transient-Party,104,0,0
6540,City Hotel,91,2017,April,14,2,2,2,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,NULL,0,Transient,117,0,4
6541,City Hotel,175,2017,May,20,19,0,1,1,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,44,NULL,0,Transient,90,0,0
6542,Resort Hotel,10,2017,July,27,6,0,3,3,0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,240,NULL,0,Transient,212,0,2
6543,Resort Hotel,23,2017,July,31,31,1,5,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,242,NULL,0,Transient,219.58,1,2
6544,Resort Hotel,0,2017,June,24,17,0,1,2,0,0,HB,ESP,Direct,Direct,0,0,0,D,D,0,No Deposit,NULL,NULL,0,Transient,196,1,1
6545,City Hotel,4,2017,July,31,31,1,1,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,NULL,40,0,Transient,65,0,1
6546,City Hotel,90,2017,June,24,11,2,0,2,0,0,SC,BRA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,NULL,0,Transient,126,0,0
6547,City Hotel,15,2017,May,18,5,0,1,2,0,0,SC,USA,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,7,NULL,0,Transient,120,0,1
6548,Resort Hotel,93,2017,August,32,8,0,4,2,0,0,BB,CN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241,NULL,0,Transient,184,0,1
6549,City Hotel,18,2017,May,21,22,1,1,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,315,NULL,0,Transient-Party,120,0,1
6550,City Hotel,317,2017,June,23,10,2,2,2,2,0,BB,SVN,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9,NULL,0,Transient,181.8,0,1
6551,City Hotel,394,2017,May,20,16,0,4,2,0,0,BB,AUS,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,229,NULL,0,Transient-Party,107,0,0
6552,City Hotel,204,2017,May,21,24,1,4,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,3,No Deposit,9,NULL,0,Transient,117.1,0,4
6553,City Hotel,210,2017,June,25,19,1,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,154,NULL,0,Transient,130,0,0
6554,City Hotel,423,2017,June,24,14,0,3,2,0,0,BB,AUS,Groups,TA/TO,0,0,0,A,A,0,No Deposit,229,NULL,0,Transient-Party,112.67,0,1
6555,Resort Hotel,12,2017,April,13,1,0,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,6,NULL,0,Transient,48,0,0
6556,City Hotel,141,2017,August,32,12,2,1,2,0,0,BB,USA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,449,NULL,0,Transient-Party,106,0,0
6557,Resort Hotel,47,2017,August,32,11,2,2,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,230,0,1
6558,City Hotel,20,2017,May,22,28,2,1,1,0,0,SC,CHN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,126,0,0
6559,City Hotel,125,2017,April,16,20,0,3,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,33,NULL,0,Transient,85,0,0
6560,City Hotel,157,2017,August,31,2,0,4,2,0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,125,0,0
6561,Resort Hotel,82,2017,April,17,23,2,5,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,E,0,No Deposit,40,NULL,0,Contract,52.85,0,0
6562,City Hotel,295,2017,August,32,10,1,3,3,0,0,BB,DNK,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient-Party,156.6,0,0
6563,Resort Hotel,163,2017,August,34,24,2,5,2,1,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,15,NULL,0,Transient,188.03,0,0
